G,G,G,G,G,G,W,W,EL,E,E,ER,W,W,W,W,K,K,K,K,K,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,G,G,G,GD,W,W,W,E,E,E,E,W,W,W,KU,K,K,K,K,K,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,G,G,G,W,W,W,W,EL,E,E,ER,W,W,W,K,K,K,K,K,K,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,G,GR,W,W,W,W,W,W,W,W,W,W,W,W,W,KL,K,K,K,K,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,KL,K,K,K,K,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,C,C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,K,KD,K,K,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,C,C,CU,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,C,C,C,C,W,W,W,X,X,X,X,X,X,W,W,W,P,W,P,PU,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,C,C,C,C,CR,W,W,X,X,X,X,X,X,W,W,W,P,PU,P,P,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,C,C,C,C,CR,W,W,X,X,X,X,X,X,W,W,W,P,PD,P,P,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,C,C,C,C,W,W,W,X,X,X,X,X,X,W,W,W,P,W,P,PD,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,C,C,C,C,W,W,W,X,X,X,X,X,X,W,W,W,W,W,W,W,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,C,C,CD,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,C,C,W,W,W,W,W,W,W,W,T,T,T,W,W,W,W,W,ML,M,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W,W,W,W,W,L,LU,L,W,W,W,TR,W,W,W,W,W,W,M,M,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DU,D,DU,D,W,W,L,L,LR,W,W,T,T,T,W,W,W,W,W,ML,M,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,D,D,DR,W,W,LL,L,L,W,W,W,TL,W,W,W,W,W,W,M,M,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
